date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-14,US,United States of America,AMRO,27973,558056,1380,22586
2020-04-15,US,United States of America,AMRO,24540,582596,597,23183
2020-04-16,US,United States of America,AMRO,25794,608390,2356,25539
2020-04-17,US,United States of America,AMRO,27172,635562,6508,32047
2020-04-18,US,United States of America,AMRO,29015,664577,2011,34058
2020-04-19,US,United States of America,AMRO,29978,694555,2451,36509
2020-04-20,US,United States of America,AMRO,29759,724314,1794,38303
2020-04-21,US,United States of America,AMRO,24371,748685,1878,40181
2020-04-22,US,United States of America,AMRO,29479,778164,2807,42988
2020-04-23,US,United States of America,AMRO,26339,804503,2820,45808
2020-04-24,US,United States of America,AMRO,26644,831147,1771,47579
2020-04-25,US,United States of America,AMRO,37063,868210,2489,50068
2020-04-26,US,United States of America,AMRO,30408,898618,1652,51720
2020-04-27,US,United States of America,AMRO,33630,932248,2017,53737
2020-04-28,US,United States of America,AMRO,27787,960035,1460,55197
2020-04-29,US,United States of America,AMRO,24270,984305,1423,56620
2020-04-30,US,United States of America,AMRO,24095,1008400,2253,58873
2020-05-01,US,United States of America,AMRO,26299,1034699,2474,61347
2020-05-02,US,United States of America,AMRO,31184,1065883,2264,63611
2020-05-03,US,United States of America,AMRO,30169,1096052,1939,65550
2020-05-04,US,United States of America,AMRO,28743,1124795,1494,67044
2020-05-05,US,United States of America,AMRO,29161,1153956,1728,68772
2020-05-06,US,United States of America,AMRO,19069,1173025,976,69748
2020-05-07,US,United States of America,AMRO,22690,1195715,2455,72203
2020-05-08,US,United States of America,AMRO,23593,1219308,2310,74513
2020-05-09,US,United States of America,AMRO,30297,1249605,2277,76790
2020-05-10,US,United States of America,AMRO,25214,1274819,1620,78410
2020-05-11,US,United States of America,AMRO,26914,1301733,1626,80036
2020-05-12,US,United States of America,AMRO,23871,1325604,980,81016
2020-05-13,US,United States of America,AMRO,18080,1343684,1076,82092
2020-05-14,US,United States of America,AMRO,22025,1365709,1526,83618
2020-05-15,US,United States of America,AMRO,20953,1386662,1644,85262
2020-05-16,US,United States of America,AMRO,26972,1413634,1794,87056
2020-05-17,US,United States of America,AMRO,22855,1436489,1483,88539
2020-05-18,US,United States of America,AMRO,32243,1468732,1399,89938
2020-05-19,US,United States of America,AMRO,13346,1482078,696,90634
2020-05-20,US,United States of America,AMRO,24654,1506732,982,91616
2020-05-21,US,United States of America,AMRO,24261,1530993,1324,92940
2020-05-22,US,United States of America,AMRO,22354,1553347,1347,94287
2020-05-23,US,United States of America,AMRO,20665,1574012,1083,95370
2020-05-24,US,United States of America,AMRO,24382,1598394,1832,97202
2020-05-25,US,United States of America,AMRO,26188,1624582,1030,98232
2020-05-26,US,United States of America,AMRO,14957,1639539,643,98875
2020-05-27,US,United States of America,AMRO,24630,1664169,637,99512
2020-05-28,US,United States of America,AMRO,16630,1680799,802,100314
2020-05-29,US,United States of America,AMRO,20020,1700819,1388,101702
2020-05-30,US,United States of America,AMRO,21459,1722278,1215,102917
2020-05-31,US,United States of America,AMRO,18053,1740331,1054,103971
2020-06-01,US,United States of America,AMRO,23921,1764252,929,104900
2020-06-02,US,United States of America,AMRO,25812,1790064,661,105561
2020-06-03,US,United States of America,AMRO,12207,1802271,609,106170
2020-06-04,US,United States of America,AMRO,25127,1827398,1058,107228
2020-06-05,US,United States of America,AMRO,15268,1842666,948,108176
2020-06-06,US,United States of America,AMRO,20648,1863314,900,109076
2020-06-07,US,United States of America,AMRO,29515,1892829,1109,110185
2020-06-08,US,United States of America,AMRO,28389,1921218,705,110890
2020-06-09,US,United States of America,AMRO,17526,1938744,516,111406
2020-06-10,US,United States of America,AMRO,17902,1956646,796,112202
2020-06-11,US,United States of America,AMRO,18029,1974675,924,113126
2020-06-12,US,United States of America,AMRO,21303,1995978,831,113957
2020-06-13,US,United States of America,AMRO,22644,2018622,932,114889
2020-06-14,US,United States of America,AMRO,22179,2040801,694,115583
2020-06-15,US,United States of America,AMRO,24677,2065478,674,116257
2020-06-16,US,United States of America,AMRO,20844,2086322,406,116663
2020-06-17,US,United States of America,AMRO,19600,2105922,519,117182
2020-06-18,US,United States of America,AMRO,29741,2135663,749,117931
2020-06-19,US,United States of America,AMRO,24393,2160056,719,118650
2020-06-20,US,United States of America,AMRO,28912,2188968,719,119369
2020-06-21,US,United States of America,AMRO,32879,2221847,707,120076
2020-06-22,US,United States of America,AMRO,32891,2254738,595,120671
2020-06-23,US,United States of America,AMRO,27874,2282612,366,121037
2020-06-24,US,United States of America,AMRO,26719,2309331,439,121476
2020-06-25,US,United States of America,AMRO,35074,2344405,824,122300
2020-06-26,US,United States of America,AMRO,39364,2383769,704,123004
2020-06-27,US,United States of America,AMRO,39824,2423593,2553,125557
2020-06-28,US,United States of America,AMRO,45239,2468832,656,126213
2020-06-29,US,United States of America,AMRO,44729,2513561,559,126772
2020-06-30,US,United States of America,AMRO,40282,2553843,964,127736
2020-07-01,US,United States of America,AMRO,37174,2591017,446,128182
2020-07-02,US,United States of America,AMRO,45607,2636624,710,128892
2020-07-03,US,United States of America,AMRO,55938,2692562,760,129652
2020-07-04,US,United States of America,AMRO,55490,2748052,699,130351
2020-07-05,US,United States of America,AMRO,56340,2804392,773,131124
2020-07-06,US,United States of America,AMRO,50876,2855268,434,131558
2020-07-07,US,United States of America,AMRO,42980,2898248,381,131939
2020-07-08,US,United States of America,AMRO,51356,2949604,528,132467
2020-07-09,US,United States of America,AMRO,53167,3002771,1018,133485
2020-07-10,US,United States of America,AMRO,66610,3069381,1058,134543
2020-07-11,US,United States of America,AMRO,60075,3129456,878,135421
2020-07-12,US,United States of America,AMRO,69090,3198546,903,136324
2020-07-13,US,United States of America,AMRO,61027,3259573,839,137163
2020-07-14,US,United States of America,AMRO,60071,3319644,691,137854
2020-07-15,US,United States of America,AMRO,60648,3380292,604,138458
2020-07-16,US,United States of America,AMRO,60242,3440534,993,139451
2020-07-17,US,United States of America,AMRO,70732,3511266,1088,140539
2020-07-18,US,United States of America,AMRO,72641,3583907,1041,141580
2020-07-19,US,United States of America,AMRO,76170,3660077,1007,142587
2020-07-20,US,United States of America,AMRO,64007,3724084,943,143530
2020-07-21,US,United States of America,AMRO,61095,3785179,764,144294
2020-07-22,US,United States of America,AMRO,58837,3844016,746,145040
2020-07-23,US,United States of America,AMRO,64223,3908239,1185,146225
2020-07-24,US,United States of America,AMRO,70150,3978389,1133,147358
2020-07-25,US,United States of America,AMRO,70791,4049180,1232,148590
2020-07-26,US,United States of America,AMRO,72859,4122039,1203,149793
2020-07-27,US,United States of America,AMRO,61341,4183380,1044,150837
2020-07-28,US,United States of America,AMRO,58028,4241408,712,151549
2020-07-29,US,United States of America,AMRO,53900,4295308,786,152335
2020-07-30,US,United States of America,AMRO,58936,4354244,1259,153594
2020-07-31,US,United States of America,AMRO,63689,4417933,1277,154871
2020-08-01,US,United States of America,AMRO,67033,4484966,1413,156284
2020-08-02,US,United States of America,AMRO,65085,4550051,1298,157582
2020-08-03,US,United States of America,AMRO,57487,4607538,1120,158702
2020-08-04,US,United States of America,AMRO,51454,4658992,700,159402
2020-08-05,US,United States of America,AMRO,44264,4703256,797,160199
2020-08-06,US,United States of America,AMRO,51879,4755135,1062,161261
2020-08-07,US,United States of America,AMRO,52165,4807300,1270,162531
2020-08-08,US,United States of America,AMRO,55029,4862329,1173,163704
2020-08-09,US,United States of America,AMRO,59103,4921432,1266,164970
2020-08-10,US,United States of America,AMRO,53881,4975313,1027,165997
2020-08-11,US,United States of America,AMRO,46664,5021977,664,166661
2020-08-12,US,United States of America,AMRO,40656,5062633,774,167435
2020-08-13,US,United States of America,AMRO,56093,5118726,1202,168637
2020-08-14,US,United States of America,AMRO,56111,5174837,1302,169939
2020-08-15,US,United States of America,AMRO,52986,5227823,1138,171077
2020-08-16,US,United States of America,AMRO,54307,5282130,1114,172191
2020-08-17,US,United States of America,AMRO,54073,5336203,975,173166
2020-08-18,US,United States of America,AMRO,40975,5377178,804,173970
2020-08-19,US,United States of America,AMRO,38075,5415253,575,174545
2020-08-20,US,United States of America,AMRO,40748,5456001,1120,175665
2020-08-21,US,United States of America,AMRO,45066,5501067,1224,176889
2020-08-22,US,United States of America,AMRO,45400,5546467,972,177861
2020-08-23,US,United States of America,AMRO,45233,5591700,990,178851
2020-08-24,US,United States of America,AMRO,43901,5635601,889,179740
2020-08-25,US,United States of America,AMRO,36673,5672274,653,180393
2020-08-26,US,United States of America,AMRO,35532,5707806,549,180942
2020-08-27,US,United States of America,AMRO,39301,5747107,1047,181989
2020-08-28,US,United States of America,AMRO,45693,5792800,1023,183012
2020-08-29,US,United States of America,AMRO,47020,5839820,980,183992
2020-08-30,US,United States of America,AMRO,45058,5884878,904,184896
2020-08-31,US,United States of America,AMRO,41120,5925998,914,185810
2020-09-01,US,United States of America,AMRO,35618,5961616,482,186292
2020-09-02,US,United States of America,AMRO,33577,5995193,510,186802
2020-09-03,US,United States of America,AMRO,44250,6039443,1015,187817
2020-09-04,US,United States of America,AMRO,42145,6081588,868,188685
2020-09-05,US,United States of America,AMRO,46120,6127708,976,189661
2020-09-06,US,United States of America,AMRO,49920,6177628,904,190565
2020-09-07,US,United States of America,AMRO,41531,6219159,778,191343
2020-09-08,US,United States of America,AMRO,33158,6252317,511,191854
2020-09-09,US,United States of America,AMRO,25513,6277830,303,192157
2020-09-10,US,United States of America,AMRO,26272,6304102,465,192622
2020-09-11,US,United States of America,AMRO,34383,6338485,1061,193683
2020-09-12,US,United States of America,AMRO,38207,6376692,989,194672
2020-09-13,US,United States of America,AMRO,44820,6421512,899,195571
2020-09-14,US,United States of America,AMRO,39476,6460988,731,196302
2020-09-15,US,United States of America,AMRO,31548,6492536,547,196849
2020-09-16,US,United States of America,AMRO,34811,6527347,437,197286
2020-09-17,US,United States of America,AMRO,35785,6563132,861,198147
2020-09-18,US,United States of America,AMRO,42294,6605426,1167,199314
2020-09-19,US,United States of America,AMRO,44236,6649662,784,200098
2020-09-20,US,United States of America,AMRO,47199,6696861,866,200964
2020-09-21,US,United States of America,AMRO,41497,6738358,599,201563
2020-09-22,US,United States of America,AMRO,33890,6772248,346,201909
2020-09-23,US,United States of America,AMRO,40150,6812398,502,202411
2020-09-24,US,United States of America,AMRO,48953,6861351,761,203172
2020-09-25,US,United States of America,AMRO,40835,6902186,1074,204246
2020-09-26,US,United States of America,AMRO,44051,6946237,849,205095
2020-09-27,US,United States of America,AMRO,49872,6996109,815,205910
2020-09-28,US,United States of America,AMRO,42704,7038813,774,206684
2020-09-29,US,United States of America,AMRO,34869,7073682,329,207013
2020-09-30,US,United States of America,AMRO,36695,7110377,340,207353
2020-10-01,US,United States of America,AMRO,39442,7149819,900,208253
2020-10-02,US,United States of America,AMRO,46266,7196085,782,209035
2020-10-03,US,United States of America,AMRO,46928,7243013,833,209868
2020-10-04,US,United States of America,AMRO,50322,7293335,828,210696
2020-10-05,US,United States of America,AMRO,46719,7340054,663,211359
2020-10-06,US,United States of America,AMRO,35996,7376050,451,211810
2020-10-07,US,United States of America,AMRO,42534,7418584,477,212287
2020-10-08,US,United States of America,AMRO,41353,7459937,641,212928
2020-10-09,US,United States of America,AMRO,54640,7514577,803,213731
2020-10-10,US,United States of America,AMRO,55452,7570029,917,214648
2020-10-11,US,United States of America,AMRO,57896,7627925,899,215547
2020-10-12,US,United States of America,AMRO,50821,7678746,584,216131
2020-10-13,US,United States of America,AMRO,47522,7726268,580,216711
2020-10-14,US,United States of America,AMRO,48048,7774316,454,217165
2020-10-15,US,United States of America,AMRO,50113,7824429,766,217931
2020-10-16,US,United States of America,AMRO,56983,7881412,797,218728
2020-10-17,US,United States of America,AMRO,63546,7944958,843,219571
2020-10-18,US,United States of America,AMRO,67772,8012730,976,220547
2020-10-19,US,United States of America,AMRO,53584,8066314,629,221176
2020-10-20,US,United States of America,AMRO,48425,8114739,574,221750
2020-10-21,US,United States of America,AMRO,59697,8174436,634,222384
2020-10-22,US,United States of America,AMRO,62309,8236745,847,223231
2020-10-23,US,United States of America,AMRO,65402,8302147,1042,224273
2020-10-24,US,United States of America,AMRO,75563,8377710,988,225261
2020-10-25,US,United States of America,AMRO,82223,8459933,961,226222
2020-10-26,US,United States of America,AMRO,78289,8538222,884,227106
2020-10-27,US,United States of America,AMRO,62409,8600631,436,227542
2020-10-28,US,United States of America,AMRO,68534,8669165,616,228158
2020-10-29,US,United States of America,AMRO,75619,8744784,938,229096
2020-10-30,US,United States of America,AMRO,83863,8828647,1063,230159
2020-10-31,US,United States of America,AMRO,90856,8919503,1094,231253
